"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.03.2012 0:00:00;5268;"สรา";70
01.03.2012 0:00:00;202;"ฬรา";10644
01.03.2012 0:00:00;492;"ยั";10401
01.04.2012 0:00:00;5105;"ยั";5045
01.04.2012 0:00:00;5194;"สรา";3
01.04.2012 0:00:00;5223;"สรา";2
01.04.2012 0:00:00;496271;"ฬรา";21519
01.03.2012 0:00:00;153;"ฬรา";18370
01.03.2012 0:00:00;143;"ฬรา";22804
01.03.2012 0:00:00;194;"ยั";36241
01.03.2012 0:00:00;251;"ฬรา";9670
01.03.2012 0:00:00;282;"สรา";1358
01.03.2012 0:00:00;471;"ฬรา";20857
01.04.2012 0:00:00;329;"ยั";1
01.04.2012 0:00:00;327;"ยั";8
01.04.2012 0:00:00;295;"ฬรา";4965
01.04.2012 0:00:00;5074;"ยั";64
01.03.2012 0:00:00;762;"ยั";27202
01.03.2012 0:00:00;863;"ฬรา";5445
01.03.2012 0:00:00;134;"ยั";52
01.04.2012 0:00:00;5010;"สรา";4
01.04.2012 0:00:00;5035;"สรา";3
01.04.2012 0:00:00;5156;"สรา";705
01.04.2012 0:00:00;328;"ยั";160
01.04.2012 0:00:00;895;"ยั";1
01.03.2012 0:00:00;153;"ยั";14751
01.03.2012 0:00:00;175;"สรา";838
01.03.2012 0:00:00;193;"ยั";2711
01.03.2012 0:00:00;288;"ฬรา";14317
01.03.2012 0:00:00;182;"ฬรา";9031
01.03.2012 0:00:00;489;"ฬรา";6612
01.03.2012 0:00:00;769;"ยั";12604
01.03.2012 0:00:00;776;"ฬรา";23019
01.03.2012 0:00:00;824;"ฬรา";5314
01.03.2012 0:00:00;947;"ฬรา";70127
01.03.2012 0:00:00;5018;"ฬรา";20891
01.03.2012 0:00:00;5053;"ฬรา";18271
01.03.2012 0:00:00;5105;"ฬรา";2841
01.04.2012 0:00:00;738;"ยั";6410
01.04.2012 0:00:00;5147;"ยั";1204
01.04.2012 0:00:00;5173;"ยั";800
01.04.2012 0:00:00;5080;"ยั";22
01.03.2012 0:00:00;5121;"ฬรา";7361
01.03.2012 0:00:00;5307;"สรา";1565
01.03.2012 0:00:00;468325;"สรา";23
01.03.2012 0:00:00;474646;"ฬรา";89
01.04.2012 0:00:00;299;"สรา";1
01.04.2012 0:00:00;975;"ฬรา";15557
01.04.2012 0:00:00;5034;"ยั";5408
01.04.2012 0:00:00;5184;"ยั";1499
01.04.2012 0:00:00;5237;"ยั";5009
01.04.2012 0:00:00;5247;"ยั";127
01.03.2012 0:00:00;771;"ยั";9144
01.03.2012 0:00:00;940;"ยั";8788
01.03.2012 0:00:00;5064;"ยั";467
01.03.2012 0:00:00;5080;"ยั";1020
01.03.2012 0:00:00;5261;"สรา";60
01.03.2012 0:00:00;496202;"ฬรา";561
01.03.2012 0:00:00;130;"ฬรา";11704
01.03.2012 0:00:00;150;"ฬรา";4982
01.04.2012 0:00:00;496061;"สรา";247
01.04.2012 0:00:00;496197;"ฬรา";2558
01.04.2012 0:00:00;165;"ยั";9605
01.03.2012 0:00:00;201;"ยั";44671
01.03.2012 0:00:00;268;"ฬรา";6272
01.03.2012 0:00:00;323;"ฬรา";8305
01.03.2012 0:00:00;328;"ฬรา";8897
01.03.2012 0:00:00;726;"ฬรา";10995
01.03.2012 0:00:00;811;"ฬรา";11016
01.03.2012 0:00:00;859;"ฬรา";8425
01.03.2012 0:00:00;884;"ฬรา";21048
01.04.2012 0:00:00;5135;"สรา";193
01.04.2012 0:00:00;5357;"ยั";9
01.04.2012 0:00:00;468671;"ยั";7
01.04.2012 0:00:00;288;"ยั";8472
01.03.2012 0:00:00;5051;"ฬรา";5213
01.03.2012 0:00:00;495;"ยั";11051
01.03.2012 0:00:00;5014;"ฬรา";20353
01.04.2012 0:00:00;755;"ยั";4
01.04.2012 0:00:00;468658;"สรา";28
01.04.2012 0:00:00;5215;"ยั";4604
01.04.2012 0:00:00;712;"ยั";11593
01.03.2012 0:00:00;5091;"ฬรา";9342
01.03.2012 0:00:00;5189;"ฬรา";6836
01.03.2012 0:00:00;5015;"ฬรา";11341
01.03.2012 0:00:00;5062;"สรา";466
01.03.2012 0:00:00;5335;"ยั";16976
01.04.2012 0:00:00;949;"ยั";16206
01.04.2012 0:00:00;974;"ยั";2100
01.04.2012 0:00:00;415;"ฬรา";633
01.04.2012 0:00:00;172;"ยั";13816
01.04.2012 0:00:00;5140;"ยั";4204
01.03.2012 0:00:00;725;"ยั";9001
01.03.2012 0:00:00;786;"สรา";2
01.03.2012 0:00:00;919;"ฬรา";5674
01.03.2012 0:00:00;938;"ยั";235
01.03.2012 0:00:00;5287;"ฬรา";11859
01.03.2012 0:00:00;5308;"ยั";1249
